Symbol,Links,Close,Change(%),Last Updated At,Open,High,Low,Volume,Volume Score,Market Cap,Sector,Sub Sector
HMVL,   ,277.45,0.16,24/05/2017 15:31:20,277.5,278.45,273.65,24426,1.27 X,2069.87,Printing,Printing/Publishing/Stationery
HONAUT,   ,10823.7,-3.57,24/05/2017 15:31:26,11175,11238,10600,1358,1.64 X,9576.93,Misc,Instrumentation & Process Control
HONDAPOWER,   ,1353.75,-1.01,24/05/2017 15:31:26,1372.6,1372.6,1321.55,3904,0.62 X,1373.77,Electric,Electric Equipment - Gensets/Turbines
HOTELEELA,   ,21.45,-1.61,24/05/2017 15:31:25,22,22.85,21.2,808206,0.38 X,828.14,Hotels,Hotels
HOVS,   ,324.85,-1.41,24/05/2017 15:31:15,326.9,339.9,316.8,394652,0.97 X,405.27,Computers,IT Enabled Services
HPL,   ,118.45,-3.58,24/05/2017 15:31:19,124.75,129.7,117,281636,0.81 X,0.00,NA,NA
HSCL,   ,58.5,-4.49,24/05/2017 15:31:15,60.65,61.7,58,797923,0.38 X,0.00,NA,NA
HSIL,   ,337.75,-2.85,24/05/2017 15:31:09,347.65,349.85,334,61295,0.63 X,2084.27,Ceramics,Ceramics/Tiles/Sanitaryware
HTMEDIA,   ,80,-1.05,24/05/2017 15:31:14,80.95,81.35,79.25,532275,1.82 X,1869.78,Printing,Printing/Publishing/Stationery
HUBTOWN,   ,143.2,-2.39,24/05/2017 15:31:15,148,148.9,138.65,288572,0.55 X,1044.48,Construction,Construction and Contracting - Real Estate
HUDCO,   ,66.65,-2.2,24/05/2017 15:31:23,68.5,69.45,66.4,8657518,0.11 X,0.00,NA,NA
IBREALEST,   ,159.8,-3.76,24/05/2017 15:31:08,166.65,168.4,151.1,21076749,1.11 X,7241.22,Construction,Construction and Contracting - Real Estate
IBULHSGFIN,   ,1039.3,-1.05,24/05/2017 15:31:08,1055.35,1057.25,1030.25,972092,0.51 X,0.00,Finance,Finance - Investments
IBVENTURES,   ,133.75,-4.7,24/05/2017 15:31:16,140.5,142.9,133.35,3985353,0.98 X,0.00,Finance,Finance - Investments
ICICIBANK,   ,306.7,0.21,24/05/2017 15:31:09,306.8,309.65,303.3,18634741,0.82 X,176807.8,Banks - Private,Finance - Banks - Private Sector
ICICIPRULI,   ,402.4,-1.85,24/05/2017 15:31:19,409.95,409.95,398.25,813747,1.51 X,0.00,NA,NA
ICIL,   ,169,-0.71,24/05/2017 15:31:14,171.5,179.8,167.4,1734446,0.95 X,3252.3,Textiles,Textiles - Spinning - Cotton Blended
ICRA,   ,4070.2,-1.21,24/05/2017 15:31:15,4075,4168.95,4043.05,6669,1.27 X,4087.59,Misc,Services - Others
ICSA,   ,2.6,-1.89,24/05/2017 15:31:15,2.6,2.7,2.6,25620,0.61 X,12.55,Computers,Computers - Software
IDBI,   ,61,-6.01,24/05/2017 15:31:25,63.5,63.95,60.25,14370492,1.86 X,5978.04,Banks - PSU,Finance - Banks - Public Sector
IDEA,   ,78.8,-6.8,24/05/2017 15:31:15,84.8,84.85,76.75,13450323,1.13 X,26047.65,Telecom,Telecommunications - Service
IDFC,   ,56.9,-2.32,24/05/2017 15:31:14,58.2,58.9,56.4,4947953,0.5 X,8589.83,Finance,Finance - Term Lending Institutions
IDFCBANK,   ,56.85,-2.65,24/05/2017 15:31:13,58.65,58.8,56.6,7549980,0.46 X,0.00,Banks - Private,Finance - Banks - Private Sector
IFBAGRO,   ,395,-7.32,24/05/2017 15:31:25,438.95,438.95,390.25,8251,1.14 X,367.2,Chemicals,Chemicals - Organic - Alcohol Based
IFBIND,   ,626.3,1.58,24/05/2017 15:31:25,612,638,606,19771,0.46 X,2225.98,Consumer Goods,Consumer Goods - White - Washing Mach./Refrig./Oth
IFCI,   ,25.75,-4.28,24/05/2017 15:31:25,27.05,27.15,25.6,9135474,0.75 X,1906.77,Finance,Finance - Term Lending Institutions
IFGLREFRAC,   ,225.45,-2.23,24/05/2017 15:31:25,229.6,232,223.3,11956,0.46 X,772.75,Misc,Refractories
IGARASHI,   ,820,-0.81,24/05/2017 15:31:25,830,845,815.25,15086,0.34 X,1664.8,Electric,Electric Equipment - General
IGL,   ,982.65,0.12,24/05/2017 15:31:09,981.45,988.9,971.2,294935,0.98 X,13753.41,Gas,Industrial Gas
IGPL,   ,387.35,0.39,24/05/2017 15:31:15,389.85,394.5,384.85,24551,0.28 X,1210.01,Chemicals,Chemicals - Organic - Maleic Anhydride
IIFL,   ,469.3,-0.64,24/05/2017 15:31:14,473,479,467,870765,2.79 X,0.00,Finance,Finance - Investments
IITL,   ,78.45,-0.32,24/05/2017 15:31:20,78.7,78.7,78.45,13,0.04 X,78.45,Finance,Finance - Investments
IL&FSENGG,   ,46.65,-6.98,24/05/2017 15:31:16,50,50,46.2,117005,0.98 X,360.67,Construction,Construction & Contracting - Civil
IL&FSTRANS,   ,100.05,-1.91,24/05/2017 15:31:19,102.5,103.8,99.65,222763,0.54 X,1940.24,Construction,Construction & Contracting - Civil
IMFA,   ,402.2,-4.84,24/05/2017 15:31:20,410,429.9,401.55,103001,1.52 X,1047.06,Mining,Mining/Minerals
IMPAL,   ,782.1,-2.29,24/05/2017 15:31:14,808.95,808.95,782.1,180,0.13 X,321.38,Auto Ancl,Auto Ancl - Engine Parts
IMPEXFERRO,   ,1.6,-3.03,24/05/2017 15:31:14,1.6,1.65,1.6,16421,1.14 X,10.53,Misc,Ferro Alloys
INDBANK,   ,15.2,-7.32,24/05/2017 15:31:17,16.9,16.9,15,100165,0.23 X,67.36,Finance,Finance - General
INDHOTEL,   ,136.25,-0.47,24/05/2017 15:31:25,137,138,134.8,222871,0.4 X,10324.49,Hotels,Hotels
INDIACEM,   ,184.55,-4.72,24/05/2017 15:31:09,192.85,194.6,183.25,4997891,0.79 X,5669.01,Cement,Cement - Major
INDIAGLYCO,   ,182.35,-2.98,24/05/2017 15:31:25,189,192,181.1,118024,0.45 X,494.06,Chemicals,Chemicals - Organic - Alcohol Based
INDIANB,   ,323.4,-0.43,24/05/2017 15:31:15,325.25,330.5,318.1,674034,0.27 X,13967.3,Banks - PSU,Finance - Banks - Public Sector
INDIANCARD,   ,193.85,-1,24/05/2017 15:31:27,197,197.35,192.2,1483,0.71 X,81.66,Textiles,Textiles - Machinery
INDIANHUME,   ,407.8,-3.33,24/05/2017 15:31:25,420.25,423.8,399.9,53326,1.19 X,2020.19,Cement,Cement - Products/Building Materials
INDIGO,   ,1057.75,1.2,24/05/2017 15:31:09,1047.1,1076.9,1041.7,566871,1.15 X,0.00,Transport,Transport - Air
INDLMETER,   ,100.15,-0.15,24/05/2017 15:31:26,104.25,104.25,98.15,7805,0.54 X,82.35,Electric,Electric Equipment - Transformers
INDNIPPON,   ,604.9,1.06,24/05/2017 15:31:28,610,614.4,582.3,4814,0.53 X,686.15,Auto Ancl,Auto Ancl - Electrical
INDOCO,   ,193.2,-2.89,24/05/2017 15:31:14,196.55,199.7,191,46201,0.52 X,237.3,Pharmaceuticals,Pharmaceuticals
INDORAMA,   ,30.25,-3.51,24/05/2017 15:31:13,31.85,31.85,30.1,172066,0.94 X,445.21,Textiles,Textiles - Spinning - Synthetic Blended
INDOSOLAR,   ,9.65,-3.02,24/05/2017 15:31:21,10.5,10.5,9.3,3628242,0.78 X,325.43,Misc,Non Conventional Energy - Generation/Support Equip
INDOTECH,   ,194.75,0.93,24/05/2017 15:31:15,197,197.65,192,9293,0.4 X,204.26,Power,Power - Transmission/Equipment
INDOTHAI,   ,33.95,9.87,24/05/2017 15:31:24,32.4,33.95,32.4,70148,0.88 X,33.44,Finance,Finance - Investments
INDOWIND,   ,4.35,-4.4,24/05/2017 15:31:16,4.75,4.75,4.35,136598,2.02 X,39.1,Power,Power - Generation/Distribution
INDRAMEDCO,   ,52.95,-0.38,24/05/2017 15:31:28,53.45,53.45,52.65,122740,0.6 X,484.02,Medical,Hospitals & Medical Services
INDSWFTLAB,   ,39.3,-1.26,24/05/2017 15:31:28,40.9,41.9,39.05,72163,1.31 X,148.32,Pharmaceuticals,Pharmaceuticals
INDTERRAIN,   ,184.25,-0.65,24/05/2017 15:31:23,187,190,180,9588,0.07 X,507.9,Textiles,Textiles - Readymade Apparels
INDUSINDBK,   ,1413.6,1.41,24/05/2017 15:31:09,1403.95,1422.95,1392,1006708,1.04 X,65948.64,Banks - Private,Finance - Banks - Private Sector
INEOSSTYRO,   ,715.4,-1.64,24/05/2017 15:31:14,725.5,731.9,710,9088,0.95 X,0.00,NA,NA
INFIBEAM,   ,1009.1,-0.35,24/05/2017 15:31:16,1015.05,1021.5,971.15,554455,0.96 X,0.00,NA,NA
INFINITE,   ,220.65,-1.91,24/05/2017 15:31:18,221,221.9,216.1,15802,1.33 X,939.66,Computers,Computers - Software
INFRATEL,   ,369,-2.86,24/05/2017 15:31:08,379.85,382,367.2,3134190,1.4 X,0.00,Transmisson Line Towers / Equipment,Transmisson Line Towers / Equipment
INFY,   ,954.8,-0.26,24/05/2017 15:31:09,960,965.5,949.6,2816762,1.02 X,219621.47,Computers,Computers - Software
INGERRAND,   ,794.8,-4.47,24/05/2017 15:31:26,844,844,784.55,20477,0.66 X,2566.84,Compressors,Compressors
INOXLEISUR,   ,280.15,-1.2,24/05/2017 15:31:15,280,283.95,274.05,51635,0.23 X,1734.13,Entertainment,Entertainment/Multi Media
INOXWIND,   ,133.15,-6.13,24/05/2017 15:31:31,142,142.7,131.6,910406,1.0 X,0.00,Electric,Electric Equipment - General
INSECTICID,   ,590.8,-6.16,24/05/2017 15:31:16,620.05,627.95,580.5,34517,0.68 X,1123.56,Agro,Pesticides/Agro Chemicals
INTELLECT,   ,116.3,0.13,24/05/2017 15:31:30,116.8,121.5,114.5,619788,0.8 X,0.00,Computers,Software - Medium / Small
INTENTECH,   ,118.35,-3.7,24/05/2017 15:31:21,125.7,125.7,115,25349,0.45 X,0.00,NA,NA
INVENTURE,   ,12.6,0.00,24/05/2017 15:31:23,12.95,12.95,12.55,372833,7.58 X,26.44,Finance,Finance - Investments
IOB,   ,25.25,-2.88,24/05/2017 15:31:10,26.1,26.25,25.15,1431230,0.24 X,1560.71,Banks - PSU,Finance - Banks - Public Sector
IOC,   ,430.55,1.48,24/05/2017 15:31:09,426.5,437.75,421.6,4245833,1.23 X,208673.07,Refineries,Refineries
IOLCP,   ,55,-4.76,24/05/2017 15:31:22,57.5,57.95,54,85695,1.59 X,144.32,Chemicals,Chemicals - Inorganic - Others
IPAPPM,   ,303.15,-2.88,24/05/2017 15:31:25,315.8,319,301.45,18976,0.26 X,0.00,Paper,Paper & Paper Boards
IPCALAB,   ,488.7,-4.17,24/05/2017 15:31:26,511,520,483.95,62192,0.65 X,6163.55,Pharmaceuticals,Pharmaceuticals
IRB,   ,216,-3.89,24/05/2017 15:31:16,224.2,227.55,214.6,1899904,0.54 X,7182.65,Construction,Construction & Contracting - Civil
ISFT,   ,342.65,2.34,24/05/2017 15:31:19,335.1,345.9,328,10834,0.54 X,517.46,Computers,IT Enabled Services
ISMTLTD,   ,11,-7.17,24/05/2017 15:31:16,12.35,12.35,10.85,171340,1.5 X,160.55,Steel,Steel - Rolling
ITC,   ,299.9,-0.08,24/05/2017 15:31:09,300,301.95,297.9,9455294,0.78 X,350937.4,Cigarettes,Cigarettes
ITDC,   ,516.15,-6.8,24/05/2017 15:31:20,560.95,561,504.05,57789,0.37 X,0.00,NA,NA
ITDCEM,   ,172.95,-3.51,24/05/2017 15:31:29,179.05,180.8,168,119376,0.81 X,1951.29,Construction,Construction & Contracting - Civil
ITI,   ,73.2,-5,24/05/2017 15:31:26,77,77,73.2,974214,0.49 X,2099.69,Telecom,Telecommunications - Equipment
IVC,   ,15.85,-3.35,24/05/2017 15:31:31,16.4,16.45,15.8,746818,0.58 X,331.27,Finance,Finance - Investments
IVP,   ,139.75,-5.03,24/05/2017 15:31:26,145,147.7,138.05,7216,0.94 X,146.82,Misc,Vanaspati
IVRCLINFRA,   ,4.25,-5.56,24/05/2017 15:31:31,4.5,4.55,4.2,1005424,1.55 X,113.79,Construction,Construction & Contracting - Civil
IZMO,   ,52.05,-3.16,24/05/2017 15:31:15,54.5,54.6,50.6,61151,0.42 X,0.00,Computers,Software - Medium / Small
J&KBANK,   ,77.1,-6.15,24/05/2017 15:31:29,82.3,84.4,76.2,707054,0.79 X,3740.26,Banks - Private,Finance - Banks - Private Sector
JAGRAN,   ,177,-1.26,24/05/2017 15:31:15,177.5,182,175.3,26718,0.4 X,5586.59,Printing,Printing/Publishing/Stationery
JAGSNPHARM,   ,38.2,-3.54,24/05/2017 15:31:27,40.5,40.5,38.15,23298,0.56 X,101.92,Pharmaceuticals,Pharmaceuticals
JAIBALAJI,   ,16.8,-4.55,24/05/2017 15:31:13,17.6,18.1,16.75,10540,0.41 X,122.26,Steel,Steel - Sponge Iron
JAICORPLTD,   ,74.25,-5.17,24/05/2017 15:31:28,79.1,79.1,73.9,599174,0.44 X,1323.87,Steel,Steel - GP/GC Sheets
JAMNAAUTO,   ,222.65,-1,24/05/2017 15:31:23,229.5,229.5,221.4,77232,0.74 X,1816.82,Auto Ancl,Auto Ancl - Susp. & Braking - Springs
JAYAGROGN,   ,876.55,-1.21,24/05/2017 15:31:26,897,897,872,29284,0.48 X,1316.09,Chemicals,Chemicals - Speciality - Others
JAYBARMARU,   ,579.15,-1.22,24/05/2017 15:31:26,592.8,609,572,46477,0.3 X,1246.13,Auto Ancl,Auto Ancl - Others
JAYNECOIND,   ,9.6,-4.48,24/05/2017 15:31:26,10.65,10.65,9.5,209617,1.42 X,307.07,Castings,Castings/Foundry
JAYSREETEA,   ,93.55,-4.1,24/05/2017 15:31:26,97.25,99.4,93,88369,0.38 X,269.45,Tea-Coffee,Plantations - Tea & Coffee
JBCHEPHARM,   ,339.85,-1.28,24/05/2017 15:31:26,339.9,347,331.4,220730,2.88 X,2874.11,Pharmaceuticals,Pharmaceuticals
JBFIND,   ,256.6,-3.97,24/05/2017 15:31:26,273.9,273.9,254.9,78603,0.58 X,1834.73,Textiles,Textiles - Manmade Fibre - PFY/PSF
JBMA,   ,269.95,-2.12,24/05/2017 15:31:14,277.65,286.95,267,83920,1.34 X,825.3,Auto Ancl,Auto Ancl - Others
JCHAC,   ,1811.1,1.69,24/05/2017 15:29:46,1817,1848,1791.05,42300,3.82 X,0.00,NA,NA
JETAIRWAYS,   ,466,-1.45,24/05/2017 15:29:58,473.3,479.9,458,2341797,1.16 X,4017.66,Transport,Transport - Air
JINDALPOLY,   ,372,-4.23,24/05/2017 15:29:53,391.5,391.5,369.45,59330,0.39 X,1597.73,Packaging,Packaging - Others
JINDALSAW,   ,72.8,-1.89,24/05/2017 15:29:44,74.85,75.3,72.8,461612,1.16 X,2034.67,Steel,Steel - Tubes/Pipes
JINDALSTEL,   ,110.85,2.5,24/05/2017 15:29:59,109.9,113.9,108.9,18756620,1.7 X,10385.96,Steel,Steel - Sponge Iron
JINDCOT,   ,11.9,-5.18,24/05/2017 15:27:51,12.6,12.8,11.9,22231,0.7 X,53.42,Textiles,Textiles - General
JINDRILL,   ,156,-3.61,24/05/2017 15:29:41,163,163.45,155,31272,1.06 X,357.46,Oil Drilling,Oil Drilling And Exploration
JINDWORLD,   ,397,3.22,24/05/2017 15:29:48,393,407,384,3871,0.3 X,669.54,Textiles,Textiles - General
JISLDVREQS,   ,60,-1.4,24/05/2017 15:29:56,62,62.7,58.3,84484,0.86 X,0.00,Plastics,Plastics - Others
JISLJALEQS,   ,87.45,0.17,24/05/2017 15:29:59,87.75,88.7,82.6,9649265,1.76 X,3500.06,Misc,Drip Irrigation Systems
JKCEMENT,   ,1098,0.10,24/05/2017 15:29:56,1095,1106,1080,17953,0.32 X,7678.31,Cement,Cement - Major
JKIL,   ,282.5,-1.38,24/05/2017 15:29:54,287.3,293,281.15,85293,0.32 X,1568.4,Construction,Construction & Contracting - Civil
JKLAKSHMI,   ,478,-1.57,24/05/2017 15:29:54,485.9,491,473,169246,1.21 X,5840.19,Cement,Cement - Major
JKPAPER,   ,102.95,-4.5,24/05/2017 15:29:58,108,108,102.4,530609,0.79 X,1405.99,Paper,Paper & Paper Boards
JKTYRE,   ,162,-3.83,24/05/2017 15:29:58,166.4,169.75,161.1,1689209,0.58 X,3323.84,Auto Ancl,Tyres & Tubes
JMA,   ,222.95,-1.28,24/05/2017 15:23:08,221,230,220,937,0.09 X,0.00,Auto Ancl,Auto Ancl - Others
JMCPROJECT,   ,265.4,0.95,24/05/2017 15:29:08,264,268.2,258.2,37116,1.1 X,701.97,Construction,Construction & Contracting - Civil
JMFINANCIL,   ,115.2,1.45,24/05/2017 15:29:56,113.15,116.35,113.05,582952,0.39 X,8612.74,Finance,Finance - Investments
JMTAUTOLTD,   ,7.25,-8.81,24/05/2017 15:29:45,8,8.15,6.75,761610,0.82 X,264.78,Auto Ancl,Auto Ancl - Gears & Drive
JOCIL,   ,165,-1.61,24/05/2017 15:29:49,169,169,162,4807,1.29 X,0.00,Chemicals,Chemicals - Inorganic - Caustic Soda/Soda Ash
JPASSOCIAT,   ,9.5,-7.32,24/05/2017 15:29:59,10.05,10.2,9.15,57294361,1.65 X,2021.3,Construction,Construction & Contracting - Civil
JPINFRATEC,   ,11,-7.56,24/05/2017 15:29:47,12.1,12.1,10.2,2297298,0.65 X,1527.82,Construction,Construction & Contracting - Civil
JPOLYINVST,   ,84.4,-4.52,24/05/2017 15:29:36,88,90,82,5268,1.05 X,0.00,Finance,Finance - Investments
JPPOWER,   ,4,-5.88,24/05/2017 15:29:58,4.2,4.25,3.95,5612244,2.36 X,1051.16,Power,Power - Generation/Distribution
JSL,   ,69.5,-2.59,24/05/2017 15:29:59,71.05,72.9,67,356833,0.58 X,1316.22,Steel,Steel - Alloys/Special
JSLHISAR,   ,127,0.99,24/05/2017 15:29:43,129,130.5,125,99171,0.33 X,0.00,NA,NA
JSWENERGY,   ,62.1,-2.28,24/05/2017 15:29:56,64.05,64.8,61,15356329,1.12 X,10192.9,Power,Power - Generation/Distribution
JSWHL,   ,1625,-2.03,24/05/2017 15:29:52,1676.8,1676.8,1617.05,15449,2.79 X,0.00,Finance,Finance - Investments
JSWSTEEL,   ,189.25,-2.22,24/05/2017 15:29:59,193.35,194.95,186.4,5437409,0.75 X,42633.59,Steel,Steel
JUBILANT,   ,724,7.18,24/05/2017 15:29:59,700,762,685.9,3205237,5.99 X,11530.34,Pharmaceuticals,Pharmaceuticals
JUBLFOOD,   ,974,-1.93,24/05/2017 15:29:56,995,1005.9,966,447930,1.1 X,6335.32,Food Processing,Food Processing - Miscellaneous
JUBLINDS,   ,279,-0.16,24/05/2017 15:29:57,281.25,301.45,275,149284,2.31 X,331.06,Agro,Pesticides/Agro Chemicals
JUNIORBEES,   ,255.9,-1.38,24/05/2017 15:29:52,256.02,260.2,254.11,10078,0.88 X,0.00,ETF,Junior Nifty
JUSTDIAL,   ,475,0.64,24/05/2017 15:29:58,472,483.35,461.85,1717468,1.44 X,0.00,Misc,Miscellaneous
JVLAGRO,   ,19.3,0.00,24/05/2017 15:29:34,19.7,19.7,19.1,83821,0.55 X,270.97,Edible Oils,Edible Oils & Solvent Extraction
JYOTHYLAB,   ,373.9,0.04,24/05/2017 15:29:56,375,378,370.45,41255,0.28 X,3040.3,FMCG,Personal Care
JYOTISTRUC,   ,8.6,1.18,24/05/2017 15:29:59,8.8,8.8,8.25,611183,0.91 X,70.77,Power,Power - Transmission/Equipment
KABRAEXTRU,   ,109,-3.24,24/05/2017 15:24:56,114,114.25,107.05,12837,0.96 X,348.68,Engineering,Engineering - Heavy
KAJARIACER,   ,663,-0.74,24/05/2017 15:29:58,667.95,680,656,126783,0.49 X,9658.51,Ceramics,Ceramics/Tiles/Sanitaryware
KAKATCEM,   ,386.1,-4.23,24/05/2017 15:29:58,406.45,406.45,385.3,51829,0.23 X,287.42,Cement,Cement - Mini
KALPATPOWR,   ,342.65,-0.74,24/05/2017 15:29:47,349.75,350,340,22267,0.23 X,5245.78,Power,Power - Transmission/Equipment
KAMATHOTEL,   ,48,-4,24/05/2017 15:29:56,50.9,51.9,47.55,302197,0.58 X,91.6,Hotels,Hotels
KAMDHENU,   ,103.85,1.47,24/05/2017 15:29:52,104.1,108,102.15,133007,1.22 X,0.00,NA,NA
KANANIIND,   ,12.95,-2.63,24/05/2017 15:27:00,13.4,13.4,12.95,20152,0.0 X,20.98,Jewellery,Diamond Cutting/Precious Metals/Jewellery
KANORICHEM,   ,69.75,1.01,24/05/2017 15:29:41,70.35,70.45,67.5,47654,0.54 X,398.5,Chemicals,Chemicals - Inorganic - Caustic Soda/Soda Ash
KANSAINER,   ,393.1,-1.7,24/05/2017 15:29:56,398,403.55,392.4,111707,0.46 X,20249.33,Paints,Paints/Varnishes
KARMAENG,   ,38.1,-9.72,24/05/2017 15:29:13,41.6,44,38,9401,1.73 X,0.00,Power,Power - Generation/Distribution
KARURVYSYA,   ,117.85,-0.8,24/05/2017 15:29:58,119.6,121.4,117.5,1786395,1.51 X,6330.94,Banks - Private,Finance - Banks - Private Sector
KAUSHALYA,   ,3.15,-4.55,24/05/2017 15:28:47,3.25,3.3,3.15,69385,1.37 X,6.21,Construction,Construction & Contracting - Civil
KAVVERITEL,   ,12,-0.41,24/05/2017 15:24:10,11.8,12,11.55,1616,0.26 X,23.8,Telecom,Telecommunications - Equipment
KAYA,   ,1010.85,1.31,24/05/2017 15:29:59,994,1040,950,30422,0.72 X,0.00,Personal Care,Indian
KCP,   ,100,-10.63,24/05/2017 15:29:58,113,113.55,97.8,1028095,3.28 X,1287.05,Cement,Cement - Mini
KCPSUGIND,   ,31.1,-2.35,24/05/2017 15:29:57,32.4,32.4,30.4,120706,0.83 X,353.34,Sugar,Sugar - Others
KDDL,   ,206,2.13,24/05/2017 15:29:52,205.85,206,193.5,8498,0.59 X,0.00,NA,NA
KEC,   ,245,1.05,24/05/2017 15:29:57,244,248,240.3,516346,0.7 X,6261.37,Power,Power - Transmission/Equipment
KECL,   ,41.5,-2.47,24/05/2017 15:31:12,43.4,43.4,41,238086,0.46 X,208.55,Electric,Electric Equipment - General
KEI,   ,202.85,-0.32,24/05/2017 15:29:56,202,210.95,199.3,223375,0.78 X,1361.97,Cables,Cables - Power/Others
KELLTONTEC,   ,116.9,-0.38,24/05/2017 15:31:09,119,120.9,116.2,43876,0.71 X,0.00,Computers,Software - Medium / Small
KESARENT,   ,100.8,20,24/05/2017 15:31:10,88.3,100.8,87.8,1227436,28.2 X,75.01,Sugar,Sugar - Integrated
KESORAMIND,   ,136.6,-2.64,24/05/2017 15:31:15,141.35,142.25,135.8,326484,0.56 X,605.54,Diversified,Diversified
KEYCORPSER,   ,39.65,4.89,24/05/2017 15:31:16,0.00,0.00,0.00,0.00,0.0 X,0.00,Finance,Finance - General
KGL,   ,1.15,-8,24/05/2017 15:31:10,1.25,1.3,1.1,1649943,3.04 X,93.77,Misc,Floriculture
KHANDSE,   ,15.85,-4.23,24/05/2017 15:31:19,0.00,0.00,0.00,0.00,0.0 X,18.82,Finance,Finance - General
KICL,   ,1803.35,0.24,24/05/2017 15:31:14,1800,1843.8,1795,2598,1.44 X,813.17,Finance,Finance - Investments
KINGFA,   ,745.2,-1.73,24/05/2017 15:31:12,762.55,762.55,737.3,5530,0.65 X,0.00,NA,NA
KIOCL,   ,37.7,4.87,24/05/2017 15:31:12,37.7,37.7,37.7,100,0.01 X,0.00,NA,NA
KIRIINDUS,   ,258.35,-1.32,24/05/2017 15:31:11,265,266.95,256.15,97539,0.94 X,488.61,Dyes,Dyes & Pigments
KIRLOSBROS,   ,247.95,-4.69,24/05/2017 15:31:12,268.95,268.95,246,49514,0.89 X,1956,Misc,Pumps
KIRLOSENG,   ,377.25,-2.06,24/05/2017 15:31:14,384.05,385.5,365.65,10317,0.36 X,5520.26,Engines,Engines
KIRLOSIND,   ,1119.25,-0.65,24/05/2017 15:31:12,1125,1144,1112,746,0.37 X,1063.36,Engines,Engines
KITEX,   ,382.6,0.87,24/05/2017 15:31:14,382.9,386,376.3,47442,0.32 X,0.00,Textiles,Products
KKCL,   ,1703.35,-1.38,24/05/2017 15:31:09,1713,1719.9,1695,211,0.05 X,2108.32,Retail,Retail - Apparel/Accessories
KMSUGAR,   ,19.1,-3.54,24/05/2017 15:31:10,20.25,22,18.5,681754,2.36 X,178.06,Sugar,Sugar - Others
KNRCON,   ,198,1.38,24/05/2017 15:31:11,196.05,203.75,195.45,47036,1.39 X,2772.68,Construction,Construction & Contracting - Civil
KOHINOOR,   ,80.6,-0.62,24/05/2017 15:31:16,81.7,84.45,79.35,565000,1.22 X,227.92,Commodities,Commodities - Trading - Rice
KOKUYOCMLN,   ,92.55,-5.03,24/05/2017 15:31:11,96.05,97.75,91,77026,0.31 X,639.45,Printing,Printing/Publishing/Stationery
KOLTEPATIL,   ,154.85,-5.17,24/05/2017 15:31:10,164.4,164.4,153,145425,0.46 X,1171.83,Construction,Construction & Contracting - Housing
KOPRAN,   ,85.5,-5,24/05/2017 15:31:15,90,91.25,82.2,549711,0.9 X,332.85,Pharmaceuticals,Pharmaceuticals
KOTAKBANK,   ,936.1,-0.44,24/05/2017 15:31:08,938.6,943.4,932.5,1014163,0.41 X,140205.56,Banks - Private,Finance - Banks - Private Sector
KOTAKGOLD,   ,256.05,-0.06,24/05/2017 15:31:10,255.95,256.8,253.65,84958,-0.1 X,0.00,ETF,Gold
KOTAKNIFTY,   ,935.81,-0.52,24/05/2017 15:31:12,942.92,945.57,935.17,13544,1.2 X,0.00,ETF,Nifty
KOTAKPSUBK,   ,345.71,-2.47,24/05/2017 15:31:10,352,354,345,4652,0.34 X,0.00,ETF,CNX PSU Bank Index
KOTARISUG,   ,12.85,-3.02,24/05/2017 15:31:08,13.25,13.35,12.7,22081,0.92 X,0.00,Sugar,Sugar - Integrated
KOTHARIPET,   ,23.7,-4.44,24/05/2017 15:31:16,25.35,25.8,23.55,28087,0.51 X,0.00,Trading,Trading
KOTHARIPRO,   ,196.35,-2.22,24/05/2017 15:31:17,205,210,195,19115,0.61 X,580.74,Misc,Pan Masala/Tobbacco Products
KPIT,   ,112,-3.24,24/05/2017 15:31:18,116.4,116.95,110,801753,1.06 X,1989.3,Computers,Computers - Software
KPRMILL,   ,723.25,-0.73,24/05/2017 15:31:10,722.5,729.9,708.35,51766,1.38 X,5734.67,Textiles,Textiles - Readymade Apparels
KRBL,   ,399.9,-2.78,24/05/2017 15:31:20,414.95,423.15,395.95,141112,1.18 X,9694.64,Commodities,Commodities - Trading - Rice
KSBPUMPS,   ,669.85,0.02,24/05/2017 15:31:15,669.1,682.95,655.55,12424,0.97 X,2384.82,Misc,Pumps
KSCL,   ,494.45,-5.29,24/05/2017 15:31:08,520,520.15,472.55,2934155,6.43 X,3376.01,Misc,Seeds/Tissue Culture/Bio Technology
KSL,   ,402.35,-0.4,24/05/2017 15:31:12,403.95,416.9,400,318966,1.17 X,1799.39,Steel,Medium / Small
KTIL,   ,190.9,-1.7,24/05/2017 15:31:14,193.7,197.8,190.3,3768,0.43 X,100.8,Misc,Storage
KTKBANK,   ,157.7,-2.5,24/05/2017 15:31:18,161.6,163.75,155.55,3768915,0.74 X,2971.04,Banks - Private,Finance - Banks - Private Sector
KWALITY,   ,134.55,-4.44,24/05/2017 15:31:11,140.5,142.4,133,1555346,1.96 X,2723.26,Food Processing,Food Processing - Dairy
L&TFH,   ,124.6,-1.66,24/05/2017 15:31:14,127.7,128.65,123.25,3442698,0.99 X,21524.85,Finance,Finance - Investments
LAKPRE,   ,39.55,-2.94,24/05/2017 15:31:09,40,41.75,39.55,1802,0.11 X,43.48,Misc,Fasteners
LAKSHMIEFL,   ,45.85,-6.71,24/05/2017 15:31:10,48,48.7,45.5,303198,0.73 X,290.55,Commodities,Commodities - Trading - Rice
