Symbol,Links,Close,Change(%),Last Updated At,Open,High,Low,Volume,Volume Score,Market Cap,Sector,Sub Sector
FLFL,   ,282.3,-2.84,24/05/2017 15:31:24,290.2,294.7,279.9,43283,0.23 X,0.00,Textiles,Products
FMGOETZE,   ,592.25,-0.13,24/05/2017 15:31:25,584.5,596.75,575.55,10217,1.08 X,3305.12,Auto Ancl,Auto Ancl - Engine Parts
FMNL,   ,77.85,9.96,24/05/2017 15:31:23,71.3,77.85,71.2,64731,1.41 X,87.11,Misc,Miscellaneous
FORTIS,   ,194.35,-1.12,24/05/2017 15:31:16,197.65,200.2,192.5,2469918,0.51 X,7878.52,Medical,Hospitals & Medical Services
FOSECOIND,   ,1383,-0.41,24/05/2017 15:31:25,1351.5,1406.85,1351.5,126,0.08 X,897.3,Chemicals,Chemicals - Organic - Others
FRETAIL,   ,307.8,0.88,24/05/2017 15:31:19,316,319,305,862795,1.72 X,0.00,NA,NA
FSL,   ,32.3,-3.73,24/05/2017 15:31:15,33.55,33.85,32,2811274,0.88 X,1391.39,Computers,IT Enabled Services
GABRIEL,   ,124.15,-1.35,24/05/2017 15:31:25,126,126,122.8,146393,0.62 X,887.38,Auto Ancl,Auto Ancl - Shock Absorber
GAEL,   ,126.9,2.34,24/05/2017 15:31:08,123,130,123,75369,0.67 X,1751.74,Edible Oils,Edible Oils & Solvent Extraction
GAIL,   ,390.65,2.71,24/05/2017 15:31:08,382,392.75,375.15,4051164,1.47 X,65950.11,Oil Drilling,Oil Drilling And Exploration
GAL,   ,7.05,-2.76,24/05/2017 15:31:22,7.15,7.2,6.75,166362,0.88 X,112.03,Steel,Steel - Rolling
GALLANTT,   ,39.15,2.22,24/05/2017 15:31:15,39.75,40.9,35.55,24964,0.33 X,316.76,Steel,Steel - Sponge Iron
GALLISPAT,   ,216.05,-0.74,24/05/2017 15:31:21,215,219.75,211,20833,0.58 X,574.92,Steel,Steel
GAMMNINFRA,   ,3.9,-3.7,24/05/2017 15:31:16,4.05,4.1,3.85,1022888,1.1 X,280.82,Infrastructure,Infrastructure - General
GAMMONIND,   ,9.45,-4.55,24/05/2017 15:31:27,10,10,9.4,408639,0.82 X,129.2,Construction,Construction & Contracting - Civil
GANDHITUBE,   ,333.2,2.1,24/05/2017 15:31:15,321.5,338.7,321.5,5850,1.59 X,489.8,Steel,Steel - Tubes/Pipes
GANECOS,   ,288.7,-1.05,24/05/2017 15:31:08,289.7,294.55,284.55,18177,0.27 X,0.00,Textiles,Textiles - Processing/Texturising
GANESHHOUC,   ,104.35,-4,24/05/2017 15:31:15,111,111,101.2,148500,0.3 X,512.45,Construction,Construction & Contracting - Housing
GARDENSILK,   ,29.65,-4.97,24/05/2017 15:31:25,31.9,31.9,29.4,68712,0.7 X,112.89,Textiles,Textiles - Weaving
GARWALLROP,   ,763.75,-0.01,24/05/2017 15:31:25,776.05,788.45,758,5406,0.25 X,1823.69,Textiles,Textiles - General
GATI,   ,122.75,-2.58,24/05/2017 15:31:15,126,127.9,122.1,410831,0.61 X,1059.71,Couriers,Couriers
GAYAPROJ,   ,141.75,-4.87,24/05/2017 15:31:23,149.05,151,140,78919,0.26 X,342.78,Infrastructure,Infrastructure - General
GDL,   ,238.55,0.51,24/05/2017 15:31:14,238.8,241.5,233.45,111122,0.47 X,2577.09,Misc,Miscellaneous
GEECEE,   ,123.65,-4.22,24/05/2017 15:31:15,133.5,133.5,121.1,18548,0.88 X,254.52,Chemicals,Chemicals - Agro Based
GENESYS,   ,151.2,3.17,24/05/2017 15:31:13,150,157,147,22069,0.99 X,448.42,Computers,Computers - Software
GENUSPAPER,   ,5.4,9.09,24/05/2017 15:31:30,4.95,5.6,4.85,513732,1.75 X,0.00,Paper,Paper & Paper Boards
GENUSPOWER,   ,39.8,-3.98,24/05/2017 15:31:14,40.2,42.4,39.65,162052,0.7 X,632.42,Electronics,Electronics - Others
