,Ticker,company_name,sector,series,date of listing,paid up value,market lot,isin number,face value
1285,SILVERTUC,Silver Touch Technologies Limited,Computers - Software,BE,12-MAY-2022,10,1,INE625X01018,10
1286,AVADHSUGAR,Avadh Sugar & Energy Limited,Sugar,EQ,28-JUL-2017,10,1,INE349W01017,10
1287,A2ZINFRA,A2Z Infra Engineering Limited,Construction & Contracting - Civil,EQ,23-DEC-2010,10,1,INE619I01012,10
1288,3MINDIA,3M India Limited,Castings & Forgings,EQ,13-AUG-2004,10,1,INE470A01017,10
1289,SHAILY,Shaily Engineering Plastics Limited,Plastics,EQ,04-APR-2022,10,1,INE151G01010,10
1290,ASIANPAINT,Asian Paints Limited,Paints & Varnishes,EQ,31-MAY-1995,1,1,INE021A01026,1
1291,SIS,SIS LIMITED,Miscellaneous,EQ,10-AUG-2017,5,1,INE285J01028,5
1292,DEN,Den Networks Limited,Media & Entertainment,EQ,24-NOV-2009,10,1,INE947J01015,10
1293,EASTSILK,Eastern Silk Industries Limited,Textiles - Weaving,BE,03-JUL-1996,2,1,INE962C01027,2
1294,SJVN,SJVN Limited,Power - Generation & Distribution,EQ,20-MAY-2010,10,1,INE002L01015,10
1295,3MINDIA,3M India Limited,Bearings,EQ,13-AUG-2004,10,1,INE470A01017,10
1296,A2ZINFRA,A2Z Infra Engineering Limited,Infrastructure - General,EQ,23-DEC-2010,10,1,INE619I01012,10
1297,SKIPPER,Skipper Limited,Engineering,EQ,27-MAY-2015,1,1,INE439E01022,1
1298,HATSUN,Hatsun Agro Product Limited,Food Processing,EQ,20-JUN-2014,1,1,INE473B01035,1
1299,SMARTLINK,Smartlink Holdings Limited,Computers - Hardware,EQ,11-APR-2001,2,1,INE178C01020,2
1300,SMLISUZU,SML Isuzu Limited,Auto - LCVs & HCVs,EQ,29-AUG-2003,10,1,INE294B01019,10
1301,SMSLIFE,SMS Lifesciences India Limited,Miscellaneous,EQ,17-AUG-2017,10,1,INE320X01016,10
1302,AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals,EQ,29-MAY-2000,2,1,INE031B01049,2
1303,SNOWMAN,Snowman Logistics Limited,Transport & Logistics,EQ,12-SEP-2014,10,1,INE734N01019,10
1304,SOBHA,Sobha Limited,Construction & Contracting - Real Estate,EQ,20-DEC-2006,10,1,INE671H01015,10
1305,RANEENGINE,Rane Engine Valve Limited,Computers - Software,EQ,24-JUN-2008,10,1,INE222J01013,10
1306,SOLARINDS,Solar Industries India Limited,Chemicals,EQ,03-APR-2006,2,1,INE343H01029,2
1307,ADANIGREEN,Adani Green Energy Limited,Miscellaneous,EQ,18-JUN-2018,10,1,INE364U01010,10
1308,SDBL,Som Distilleries & Breweries Limited,Breweries & Distilleries,EQ,18-MAR-2014,5,1,INE480C01020,5
1309,LOYALTEX,Loyal Textile Mills Limited,Textiles - Composite Mills,EQ,11-AUG-2022,10,1,INE970D01010,10
1310,KAJARIACER,Kajaria Ceramics Limited,Ceramics & Granite,EQ,01-JUN-2004,1,1,INE217B01036,1
1311,SOMICONVEY,Somi Conveyor Beltings Limited,Rubber,BE,18-JUL-2016,10,1,INE323J01019,10
1312,SONACOMS,Sona BLW Precision Forgings Limited,Auto Ancillaries - Castings/Forgings,EQ,24-JUN-2021,10,1,INE073K01018,10
1313,SONATSOFTW,Sonata Software Limited,Computers - Software Medium & Small,EQ,28-JUL-1999,1,1,INE269A01021,1
1314,JPINFRATEC,Jaypee Infratech Limited,Construction - Residential & Commercial Complexes,BE,21-MAY-2010,10,1,INE099J01015,10
1315,SOUTHBANK,The South Indian Bank Limited,Banks - Private Sector,EQ,08-DEC-1998,1,1,INE683A01023,1
1316,SOUTHBANK,The South Indian Bank Limited,Diversified,EQ,08-DEC-1998,1,1,INE683A01023,1
1317,SPCENET,Spacenet Enterprises India Limited,,BE,10-JAN-2017,1,1,INE970N01027,1
1318,CHEMCON,Chemcon Speciality Chemicals Limited,Hotels,EQ,01-OCT-2020,10,1,INE03YM01018,10
1319,ABFRL,Aditya Birla Fashion and Retail Limited,Miscellaneous,EQ,17-JUL-2013,10,1,INE647O01011,10
1320,ALMONDZ,Almondz Global Securities Limited,Computers - Software,EQ,16-JUN-2008,6,1,INE326B01027,6
1321,AARON,Aaron Industries Limited,Textiles - Readymade Apparels,BE,06-NOV-2020,10,1,INE721Z01010,10
1322,A2ZINFRA,A2Z Infra Engineering Limited,Construction & Contracting - Civil,EQ,23-DEC-2010,10,1,INE619I01012,10
1323,3MINDIA,3M India Limited,Textiles - Spinning - Synthetic Blended,EQ,13-AUG-2004,10,1,INE470A01017,10
1324,SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,Chemicals,EQ,08-MAY-2007,10,1,INE917H01012,10
1325,SREEL,Sreeleathers Limited,Leather Products,EQ,01-JAN-2014,10,1,INE099F01013,10
1326,A2ZINFRA,A2Z Infra Engineering Limited,Finance - Leasing & Hire Purchase,EQ,23-DEC-2010,10,1,INE619I01012,10
1327,SRF,SRF Limited,Diversified,EQ,18-AUG-2003,10,1,INE647A01010,10
1328,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,Media & Entertainment,BE,16-FEB-2000,2,1,INE293B01029,2
1329,SCAPDVR,Stampede Capital Limited,Finance - Investments,EQ,10-OCT-2017,1,1,INE224E01036,1
1330,SIL,Standard Industries Limited,Chemicals,BE,27-JAN-2004,5,1,INE173A01025,5
1331,APCL,Anjani Portland Cement Limited,Cement - Major,EQ,10-APR-2017,10,1,INE071F01012,10
1332,ASTRON,Astron Paper & Board Mill Limited,Paper,EQ,29-DEC-2017,10,1,INE646X01014,10
1333,STARTECK,Starteck Finance Limited,Finance - Investments,EQ,04-MAY-2022,10,1,INE992I01013,10
1334,3MINDIA,3M India Limited,Trading,EQ,13-AUG-2004,10,1,INE470A01017,10
1335,CUB,City Union Bank Limited,Miscellaneous,EQ,25-AUG-1998,1,1,INE491A01021,1
1336,IEX,Indian Energy Exchange Limited,Steel - Large,EQ,23-OCT-2017,1,1,INE022Q01020,1
1337,JINDALSTEL,Jindal Steel & Power Limited,Auto Ancillaries,EQ,29-DEC-1999,1,1,INE749A01030,1
1338,STEELCAS,Steelcast Limited,Castings & Forgings,EQ,23-NOV-2021,5,1,INE124E01020,5
1339,3PLAND,3P Land Holdings Limited,Finance - Investments,EQ,19-JUL-1995,2,1,INE105C01023,2
1340,STERTOOLS,Sterling Tools Limited,Fasteners,EQ,02-FEB-2006,2,1,INE334A01023,2
1341,SALASAR,Salasar Techno Engineering Limited,Cables - Telephone,EQ,25-JUL-2017,1,1,INE170V01027,1
1342,ALMONDZ,Almondz Global Securities Limited,Textiles - General,EQ,16-JUN-2008,6,1,INE326B01027,6
1343,AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals,EQ,29-MAY-2000,2,1,INE031B01049,2
1344,STYLAMIND,Stylam Industries Limited,Miscellaneous,EQ,02-AUG-2021,5,1,INE239C01020,5
1345,SUBEXLTD,Subex Limited,,EQ,05-NOV-2020,5,1,INE754A01055,5
1346,SUBROS,Subros Limited,Auto Ancillaries,EQ,13-JUL-2005,2,1,INE287B01021,2
1347,SUDARSCHEM,Sudarshan Chemical Industries Limited,Dyes & Pigments,EQ,25-MAY-1995,2,1,INE659A01023,2
1348,SUMEETINDS,Sumeet Industries Limited,Textiles - Manmade,EQ,10-DEC-2010,10,1,INE235C01010,10
1349,SUMIT,Sumit Woods Limited,,BE,30-JUL-2019,10,1,INE748Z01013,10
1350,SUMMITSEC,Summit Securities Limited,Finance - Investments,EQ,28-JAN-2011,10,1,INE519C01017,10
1351,ABSLAMC,Aditya Birla Sun Life AMC Limited,Pharmaceuticals,EQ,11-OCT-2021,5,1,INE404A01024,5
1352,ABSLAMC,Aditya Birla Sun Life AMC Limited,Pharmaceuticals,EQ,11-OCT-2021,5,1,INE404A01024,5
1353,ABSLAMC,Aditya Birla Sun Life AMC Limited,Media & Entertainment,EQ,11-OCT-2021,5,1,INE404A01024,5
1354,SUNCLAYLTD,Sundaram Clayton Limited,Finance - General,EQ,23-OCT-2012,5,1,INE105A01035,5
1355,RBL,Rane Brake Lining Limited,Auto Ancillaries,EQ,20-JUN-2008,10,1,INE244J01017,10
1356,CANFINHOME,Can Fin Homes Limited,Finance - Leasing & Hire Purchase,EQ,10-MAY-1995,2,1,INE477A01020,2
1357,MCX,Multi Commodity Exchange of India Limited,Printing & Stationery,EQ,09-MAR-2012,10,1,INE745G01035,10
1358,SUNDRMFAST,Sundram Fasteners Limited,Fasteners,EQ,07-JUN-2000,1,1,INE387A01021,1
1359,SUNFLAG,Sunflag Iron And Steel Company Limited,Steel - Rolling,EQ,29-SEP-2005,10,1,INE947A01014,10
1360,AJMERA,Ajmera Realty & Infra India Limited,Construction & Contracting - Real Estate,EQ,16-JUN-2009,10,1,INE298G01027,10
1361,BASML,Bannari Amman Spinning Mills Limited,Textiles - Spinning - Cotton Blended,EQ,14-NOV-2005,5,1,INE186H01022,5
1362,SUPERHOUSE,Superhouse Limited,Leather Products,EQ,26-SEP-2014,10,1,INE712B01010,10
1363,SUPRAJIT,Suprajit Engineering Limited,Auto Ancillaries,EQ,18-FEB-2005,1,1,INE399C01030,1
1364,SPLPETRO,Supreme Petrochem Limited,,EQ,24-MAY-2022,4,1,INE663A01025,4
1365,SPLPETRO,Supreme Petrochem Limited,Plastics,EQ,24-MAY-2022,4,1,INE663A01025,4
1366,A2ZINFRA,A2Z Infra Engineering Limited,Construction & Contracting - Civil,EQ,23-DEC-2010,10,1,INE619I01012,10
1367,SPLPETRO,Supreme Petrochem Limited,Petrochemicals,EQ,24-MAY-2022,4,1,INE663A01025,4
1368,SOLARINDS,Solar Industries India Limited,Electric Equipment,EQ,03-APR-2006,2,1,INE343H01029,2
1369,KAVVERITEL,Kavveri Telecom Products Limited,Cables - Telephone,EQ,29-JAN-2008,10,1,INE641C01019,10
1370,JINDALSTEL,Jindal Steel & Power Limited,,EQ,29-DEC-1999,1,1,INE749A01030,1
1371,SURYAROSNI,Surya Roshni Limited,Steel - Tubes & Pipes,EQ,10-MAY-1995,10,1,INE335A01012,10
1372,SURYALAXMI,Suryalakshmi Cotton Mills Limited,Textiles - Spinning - Cotton Blended,EQ,15-JUN-2005,10,1,INE713B01026,10
1373,CENTURYTEX,Century Textiles & Industries Limited,Textiles - General,EQ,27-JUN-2003,10,1,INE055A01016,10
1374,SUULD,Suumaya Industries Limited,Miscellaneous,EQ,19-OCT-2020,10,1,INE591Q01016,10
1375,ABSLAMC,Aditya Birla Sun Life AMC Limited,Pharmaceuticals,EQ,11-OCT-2021,5,1,INE404A01024,5
1376,ADANIGREEN,Adani Green Energy Limited,Power - Generation & Distribution,EQ,18-JUN-2018,10,1,INE364U01010,10
1377,ALMONDZ,Almondz Global Securities Limited,,EQ,16-JUN-2008,6,1,INE326B01027,6
1378,ADANIGREEN,Adani Green Energy Limited,Trading,EQ,18-JUN-2018,10,1,INE364U01010,10
1379,KIRLOSENG,Kirloskar Oil Engines Limited,Engines,EQ,24-DEC-2010,2,1,INE146L01010,2
1380,ADANIGREEN,Adani Green Energy Limited,Electric Equipment,EQ,18-JUN-2018,10,1,INE364U01010,10
1381,SYMPHONY,Symphony Limited,Consumer Goods - White Goods,EQ,15-JUN-2011,2,1,INE225D01027,2
1382,SYNGENE,Syngene International Limited,Miscellaneous,EQ,11-AUG-2015,10,1,INE398R01022,10
1383,TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,Plastics,EQ,27-JUL-1995,10,1,INE123C01018,10
1384,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Hotels,EQ,25-JUN-2007,2,1,INE199C01026,2
1385,ATULAUTO,Atul Auto Limited,Auto Ancillaries,EQ,26-JUN-2013,5,1,INE951D01028,5
1386,RAMANEWS,Shree Rama Newsprint Limited,Paper,EQ,20-SEP-2006,10,1,INE278B01020,10
1387,KAVVERITEL,Kavveri Telecom Products Limited,Cables - Telephone,EQ,29-JAN-2008,10,1,INE641C01019,10
1388,TNPETRO,Tamilnadu PetroProducts Limited,Detergents,EQ,27-OCT-1999,10,1,INE148A01019,10
1389,TANLA,Tanla Platforms Limited,Computers - Software Medium & Small,EQ,05-JAN-2007,1,1,INE483C01032,1
1390,TANTIACONS,Tantia Constructions Limited,Construction & Contracting - Civil,BZ,19-FEB-2008,10,1,INE388G01018,10
1391,SCHAND,S Chand And Company Limited,Miscellaneous,EQ,09-MAY-2017,5,1,INE807K01035,5
1392,TARC,TARC Limited,,EQ,18-DEC-2020,2,1,INE0EK901012,2
1393,TARMAT,Tarmat Limited,Construction & Contracting - Civil,EQ,09-JUL-2007,10,1,INE924H01018,10
1394,TASTYBITE,Tasty Bite Eatables Limited,Food Processing,EQ,23-MAR-2017,10,1,INE488B01017,10
1395,ALKYLAMINE,Alkyl Amines Chemicals Limited,Chemicals,EQ,26-NOV-2007,2,1,INE150B01039,2
1396,COFFEEDAY,Coffee Day Enterprises Limited,Plantations - Tea & Coffee,EQ,02-NOV-2015,10,1,INE335K01011,10
1397,TATACHEM,Tata Chemicals Limited,Telecommunications - Service,EQ,01-APR-1999,10,1,INE092A01019,10
1398,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,Plantations - Tea & Coffee,EQ,18-NOV-1998,1,1,INE192A01025,1
1399,TATACHEM,Tata Chemicals Limited,Computers - Software,EQ,01-APR-1999,10,1,INE092A01019,10
1400,DELTACORP,Delta Corp Limited,Finance - Investments,EQ,02-NOV-2007,1,1,INE124G01033,1
1401,TATACHEM,Tata Chemicals Limited,Steel - Pig Iron,EQ,01-APR-1999,10,1,INE092A01019,10
1402,EICHERMOT,Eicher Motors Limited,Auto - LCVs & HCVs,EQ,07-SEP-2004,1,1,INE066A01021,1
1403,ADANIPOWER,Adani Power Limited,Power - Generation & Distribution,BE,20-AUG-2009,10,1,INE814H01011,10
1404,JINDALSTEL,Jindal Steel & Power Limited,,EQ,29-DEC-1999,1,1,INE749A01030,1
1405,JINDALSTEL,Jindal Steel & Power Limited,Steel - Sponge Iron,EQ,29-DEC-1999,1,1,INE749A01030,1
1406,TATVA,Tatva Chintan Pharma Chem Limited,Speciality Chemicals,EQ,29-JUL-2021,10,1,INE0GK401011,10
1407,IRB,IRB Infrastructure Developers Limited,Construction & Contracting - Real Estate,EQ,25-FEB-2008,10,1,INE821I01014,10
1408,APTUS,Aptus Value Housing Finance India Limited,Finance - Investments,EQ,24-AUG-2021,2,1,INE852O01025,2
1409,INDIANCARD,Indian Card Clothing Company Limited,Textiles - General,EQ,08-JAN-1997,10,1,INE061A01014,10
1410,MOLDTKPAC,Mold-Tek Packaging Limited,Printing & Stationery,EQ,23-FEB-2015,5,1,INE893J01029,5
1411,ADANIPOWER,Adani Power Limited,Engineering - Heavy,BE,20-AUG-2009,10,1,INE814H01011,10
1412,ATFL,Agro Tech Foods Limited,Computers - Software,EQ,06-DEC-2002,10,1,INE209A01019,10
1413,TECHIN,Techindia Nirman Limited,Miscellaneous,EQ,08-SEP-2011,10,1,INE778A01021,10
1414,TIIL,Technocraft Industries (India) Limited,Steel - Medium & Small,EQ,12-FEB-2007,10,1,INE545H01011,10
1415,DEN,Den Networks Limited,Telecommunications - Equipment,EQ,24-NOV-2009,10,1,INE947J01015,10
1416,CALSOFT,California Software Company Limited,Computers - Software Medium & Small,EQ,28-JUN-2000,10,1,INE526B01014,10
1417,A2ZINFRA,A2Z Infra Engineering Limited,Infrastructure - General,EQ,23-DEC-2010,10,1,INE619I01012,10
1418,RVNL,Rail Vikas Nigam Limited,Infrastructure - General,EQ,11-APR-2019,10,1,INE415G01027,10
1419,APOLLOPIPE,Apollo Pipes Limited,Plastics,EQ,11-NOV-2019,10,1,INE126J01016,10
1420,TGBHOTELS,TGB Banquets And Hotels Limited,Hotels,EQ,17-MAY-2007,10,1,INE797H01018,10
1421,THANGAMAYL,Thangamayil Jewellery Limited,Diamond Cutting & Jewellery & Precious Metals,EQ,19-FEB-2010,10,1,INE085J01014,10
1422,ANDHRSUGAR,The Andhra Sugars Limited,Hotels,EQ,01-NOV-1995,2,1,INE715B01021,2
1423,ANDHRSUGAR,The Andhra Sugars Limited,Plantations - Tea & Coffee,EQ,01-NOV-1995,2,1,INE715B01021,2
1424,ANDHRSUGAR,The Andhra Sugars Limited,Auto Ancillaries,EQ,01-NOV-1995,2,1,INE715B01021,2
1425,ANDHRSUGAR,The Andhra Sugars Limited,Finance - General,EQ,01-NOV-1995,2,1,INE715B01021,2
1426,ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,EQ,01-NOV-1995,2,1,INE715B01021,2
1427,ARTEMISMED,Artemis Medicare Services Limited,Pharmaceuticals,EQ,23-JAN-2020,1,1,INE025R01021,1
1428,THERMAX,Thermax Limited,Infrastructure - General,EQ,30-AUG-1995,2,1,INE152A01029,2
1429,TATVA,Tatva Chintan Pharma Chem Limited,Chemicals,EQ,29-JUL-2021,10,1,INE0GK401011,10
1430,THOMASCOOK,Thomas Cook  (India)  Limited,Miscellaneous,EQ,07-JUN-2000,1,1,INE332A01027,1
1431,THOMASCOOK,Thomas Cook  (India)  Limited,Textiles - Synthetic & Silk,EQ,07-JUN-2000,1,1,INE332A01027,1
1432,THYROCARE,Thyrocare Technologies Limited,Hospitals & Medical Services,EQ,09-MAY-2016,10,1,INE594H01019,10
1433,GULFOILLUB,Gulf Oil Lubricants India Limited,Lubricants,EQ,31-JUL-2014,2,1,INE635Q01029,2
1434,TIJARIA,Tijaria Polypipes Limited,Plastics,EQ,14-OCT-2011,10,1,INE440L01017,10
1435,TIL,TIL Limited,Engineering,EQ,27-SEP-1995,10,1,INE806C01018,10
1436,TI,Tilaknagar Industries Limited,Breweries & Distilleries,EQ,16-JUL-2010,10,1,INE133E01013,10
1437,SALASAR,Salasar Techno Engineering Limited,Packaging,EQ,25-JUL-2017,1,1,INE170V01027,1
1438,TIMESGTY,Times Guaranty Limited,Finance - Leasing & Hire Purchase,EQ,11-JUN-2002,10,1,INE289C01025,10
1439,TIMKEN,Timken India Limited,Bearings,EQ,06-FEB-2007,10,1,INE325A01013,10
1440,TINPLATE,The Tinplate Company of India Limited,Metals - Non Ferrous,EQ,27-JAN-2006,10,1,INE422C01014,10
1441,AARON,Aaron Industries Limited,Media & Entertainment,BE,06-NOV-2020,10,1,INE721Z01010,10
1442,BHARATFORG,Bharat Forge Limited,Diversified,EQ,04-APR-2003,2,1,INE465A01025,2
1443,JWL,Jupiter Wagons Limited,Infrastructure - General,BE,18-OCT-2010,10,1,INE209L01016,10
1444,ANDREWYU,Andrew Yule & Company Limited,Miscellaneous,EQ,05-AUG-2021,2,1,INE449C01025,2
1445,DBREALTY,D B Realty Limited,Auto Ancillaries,EQ,24-FEB-2010,10,1,INE879I01012,10
1446,TOKYOPLAST,Tokyo Plast International Limited,Plastics,EQ,11-OCT-1995,10,1,INE932C01012,10
1447,AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals,EQ,29-MAY-2000,2,1,INE031B01049,2
1448,ADANIPOWER,Adani Power Limited,Power - Generation & Distribution,BE,20-AUG-2009,10,1,INE814H01011,10
1449,ATGL,Adani Total Gas Limited,Transport & Logistics,EQ,05-NOV-2018,1,1,INE399L01023,1
1450,TOUCHWOOD,Touchwood Entertainment Limited,Media & Entertainment,BE,21-JAN-2020,10,1,INE486Y01013,10
1451,APTUS,Aptus Value Housing Finance India Limited,Finance - Term Lending Institutions,EQ,24-AUG-2021,2,1,INE852O01025,2
1452,TPLPLASTEH,TPL Plastech Limited,Plastics,EQ,20-MAY-2015,10,1,INE413G01014,10
1453,INDOTECH,Indo Tech Transformers Limited,Power - Transmission & Equipment,EQ,16-MAR-2006,10,1,INE332H01014,10
1454,DELTACORP,Delta Corp Limited,Transport & Logistics,EQ,02-NOV-2007,1,1,INE124G01033,1
1455,TFL,Transwarranty Finance Limited,Finance - General,BE,26-FEB-2007,10,1,INE804H01012,10
1456,A2ZINFRA,A2Z Infra Engineering Limited,Infrastructure - General,EQ,23-DEC-2010,10,1,INE619I01012,10
1457,LEMONTREE,Lemon Tree Hotels Limited,Computers - Software - Training,EQ,09-APR-2018,10,1,INE970X01018,10
1458,TRENT,Trent Limited,Retail,EQ,07-JUN-2004,1,1,INE849A01020,1
1459,TRF,TRF Limited,Engineering - Heavy,EQ,26-MAR-2010,10,1,INE391D01019,10
1460,TBZ,Tribhovandas Bhimji Zaveri Limited,Diamond Cutting & Jewellery & Precious Metals,EQ,09-MAY-2012,10,1,INE760L01018,10
1461,TRIDENT,Trident Limited,Textiles - Spinning - Cotton Blended,EQ,21-FEB-2001,1,1,INE064C01022,1
1462,ATFL,Agro Tech Foods Limited,Computers - Software Medium & Small,EQ,06-DEC-2002,10,1,INE209A01019,10
