Date,rownum,Open,High,Low,Close,Adj Close,Volume,row_num
2022-10-21 00:00:00+05:30,0,671.0,678.9000244140625,645.5,655.75,655.75,272857,0
2022-10-24 00:00:00+05:30,1,664.0,664.7999877929688,654.7999877929688,658.7000122070312,658.7000122070312,41161,1
2022-10-25 00:00:00+05:30,2,660.75,665.3499755859375,648.25,662.0999755859375,662.0999755859375,258718,2
2022-10-27 00:00:00+05:30,3,665.5499877929688,674.0,658.0499877929688,663.2999877929688,663.2999877929688,217627,3
2022-10-28 00:00:00+05:30,4,666.6500244140625,667.0999755859375,643.0499877929688,646.0499877929688,646.0499877929688,283067,4
2022-10-31 00:00:00+05:30,5,652.25,664.0,643.3499755859375,646.5499877929688,646.5499877929688,889946,5
2022-11-01 00:00:00+05:30,6,653.9500122070312,659.4000244140625,629.0999755859375,639.6500244140625,639.6500244140625,789011,6
2022-11-02 00:00:00+05:30,7,635.5,644.9000244140625,631.8499755859375,637.4500122070312,637.4500122070312,282207,7
2022-11-03 00:00:00+05:30,8,636.5,638.0499877929688,630.0,630.7999877929688,630.7999877929688,205653,8
2022-11-04 00:00:00+05:30,9,633.6500244140625,636.7999877929688,630.0,631.0999755859375,631.0999755859375,280000,9
