,0,1,2,3,4,5,6,7,8,9,10
42,42,ALPHAGEO,Alphageo (India) Limited,Oil Drilling,Oil Drilling,EQ,11-May-07,10,1,INE137C01018,10
43,43,ALPSINDUS,Alps Industries Limited,Textiles,Textiles,EQ,24-Apr-96,10,1,INE093B01015,10
44,44,AMARAJABAT,Amara Raja Batteries Limited,Auto Ancillaries,Auto Ancillaries,EQ,05-Sep-03,1,1,INE885A01032,1
45,45,AMBIKCO,Ambika Cotton Mills Limited,Textiles - Composite Mills,Textiles - Composite Mills,EQ,29-Jan-08,10,1,INE540G01014,10
46,46,AMBUJACEM,Ambuja Cements Limited,Cement - Major,Cement - Major,EQ,18-Feb-98,2,1,INE079A01024,2
47,47,AMDIND,AMD Industries Limited,Packaging,Packaging,BE,19-Mar-07,10,1,INE005I01014,10
48,48,AMRUTANJAN,Amrutanjan Health Care Limited,Pharmaceuticals,Pharmaceuticals,EQ,02-Jan-15,1,1,INE098F01031,1
49,49,ANANTRAJ,Anant Raj Limited,Media & Entertainment,Media & Entertainment,EQ,27-Sep-06,2,1,INE242C01024,2
50,50,ANDHRSUGAR,The Andhra Sugars Limited,Miscellaneous,Miscellaneous,EQ,01-Nov-95,2,1,INE715B01021,2
51,51,ANKITMETAL,Ankit Metal & Power Limited,Steel - Tubes & Pipes,Steel - Tubes & Pipes,EQ,14-Mar-13,10,1,INE106I01010,10
52,52,ANSALAPI,Ansal Properties & Infrastructure Limited,Construction & Contracting - Housing,Construction & Contracting - Housing,BE,27-Jan-06,5,1,INE436A01026,5
53,53,ANSALHSG,Ansal Housing Limited,,,EQ,06-Oct-06,10,1,INE880B01015,10
54,54,APARINDS,Apar Industries Limited,Electric Equipment,Electric Equipment,EQ,12-Jul-04,10,1,INE372A01015,10
55,55,APCL,Anjani Portland Cement Limited,Cement - Major,Cement - Major,EQ,10-Apr-17,10,1,INE071F01012,10
56,56,APCOTEXIND,Apcotex Industries Limited,Rubber,Rubber,EQ,06-Sep-95,2,1,INE116A01032,2
57,57,APLAPOLLO,APL Apollo Tubes Limited,Engineering - Heavy,Engineering - Heavy,EQ,14-Dec-11,2,1,INE702C01027,2
58,58,APLLTD,Alembic Pharmaceuticals Limited,Pharmaceuticals,Pharmaceuticals,EQ,20-Sep-11,2,1,INE901L01018,2
59,59,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Medical,Medical,EQ,10-Jan-96,5,1,INE437A01024,5
60,60,APOLLOTYRE,Apollo Tyres Limited,Auto Ancl,Auto Ancl,EQ,31-May-95,1,1,INE438A01022,1
61,61,APTECHT,Aptech Limited,Computers - Software - Training,Computers - Software - Training,EQ,27-Sep-02,10,1,INE266F01018,10
62,62,ARCHIDPLY,Archidply Industries Limited,Consumer Goods,Consumer Goods,EQ,04-Jul-08,10,1,INE877I01016,10
63,63,ARCHIES,Archies Limited,Printing & Stationery,Printing & Stationery,EQ,02-Sep-98,2,1,INE731A01020,2
64,64,ARIES,Aries Agro Limited,Fertilisers,Fertilisers,EQ,11-Jan-08,10,1,INE298I01015,10
65,65,ARIHANTSUP,Arihant Superstructures Limited,,,EQ,28-Mar-17,10,1,INE643K01018,10
66,66,ARMANFIN,Arman Financial Services Limited,Finance - Investments,Finance - Investments,EQ,14-Jun-16,10,1,INE109C01017,10
67,67,AROGRANITE,Aro Granite Industries Limited,Ceramics & Granite,Ceramics & Granite,EQ,24-Apr-07,10,1,INE210C01013,10
68,68,ARROWGREEN,Arrow Greentech Limited,Plastics,Plastics,BE,21-May-15,10,1,INE570D01018,10
69,69,ARSSINFRA,ARSS Infrastructure Projects Limited,Construction & Contracting - Real Estate,Construction & Contracting - Real Estate,BE,03-Mar-10,10,1,INE267I01010,10
70,70,ARVIND,Arvind Limited,Textiles - Denim,Textiles - Denim,EQ,08-Feb-95,10,1,INE034A01011,10
71,71,ARVSMART,Arvind SmartSpaces Limited,,,EQ,26-Aug-15,10,1,INE034S01021,10
72,72,ASAHIINDIA,Asahi India Glass Limited,Glass & Glass Products,Glass & Glass Products,EQ,18-Mar-98,1,1,INE439A01020,1
73,73,ASAHISONG,Asahi Songwon Colors Limited,Dyes,Dyes,EQ,29-Aug-11,10,1,INE228I01012,10
74,74,ASAL,Automotive Stampings and Assemblies Limited,Auto Ancillaries,Auto Ancillaries,EQ,12-Mar-02,10,1,INE900C01027,10
75,75,ASHAPURMIN,Ashapura Minechem Limited,Mining & Minerals,Mining & Minerals,EQ,20-Sep-95,2,1,INE348A01023,2
76,76,ASHIANA,Ashiana Housing Limited,Construction,Construction,EQ,29-Jun-11,2,1,INE365D01021,2
77,77,ASHIMASYN,Ashima Limited,Textiles - Spinning - Cotton Blended,Textiles - Spinning - Cotton Blended,EQ,27-Jul-95,10,1,INE440A01010,10
78,78,ASHOKA,Ashoka Buildcon Limited,Construction & Contracting - Civil,Construction & Contracting - Civil,EQ,14-Oct-10,5,1,INE442H01029,5
79,79,ASHOKLEY,Ashok Leyland Limited,Auto - LCVs & HCVs,Auto - LCVs & HCVs,EQ,25-May-95,1,1,INE208A01029,1
80,80,ASIANHOTNR,Asian Hotels (North) Limited,Hotels,Hotels,EQ,07-Apr-10,10,1,INE363A01022,10
81,81,ASIANPAINT,Asian Paints Limited,Paints & Varnishes,Paints & Varnishes,EQ,31-May-95,1,1,INE021A01026,1
82,82,ASIANTILES,Asian Granito India Limited,Miscellaneous,Miscellaneous,EQ,23-Aug-07,10,1,INE022I01019,10
83,83,ASTEC,Astec LifeSciences Limited,Agro,Agro,EQ,25-Nov-09,10,1,INE563J01010,10
84,84,ASTRAL,Astral Limited,Plastics,Plastics,EQ,20-Mar-07,1,1,INE006I01046,1
85,85,ASTRAMICRO,Astra Microwave Products Limited,Plantations - Tea & Coffee,Plantations - Tea & Coffee,EQ,01-Nov-04,2,1,INE386C01029,2
86,86,ASTRAZEN,AstraZeneca Pharma India Limited,Pharmaceuticals,Pharmaceuticals,EQ,04-May-01,2,1,INE203A01020,2
87,87,ATFL,Agro Tech Foods Limited,Computers - Software,Computers - Software,EQ,06-Dec-02,10,1,INE209A01019,10
88,88,ATLANTA,Atlanta  Limited,Infrastructure,Infrastructure,EQ,25-Sep-06,2,1,INE285H01022,2
89,89,ATUL,Atul Limited,Auto - 2 & 3 Wheelers,Auto - 2 & 3 Wheelers,EQ,06-May-98,10,1,INE100A01010,10
90,90,ATULAUTO,Atul Auto Limited,Auto Ancillaries,Auto Ancillaries,EQ,26-Jun-13,5,1,INE951D01028,5
