,Ticker,company_name,sector,sub sector,series,date of listing,paid up value,market lot,isin number,face value
0,20MICRONS,20 Microns Limited,Mining,Mining/Minerals,EQ,06-Oct-08,5,1,INE144J01027,5
1,3MINDIA,3M India Limited,Diversified,Diversified,EQ,13-Aug-04,10,1,INE470A01017,10
2,63MOONS,63 moons technologies limited,,,EQ,20-Jun-05,2,1,INE111B01023,2
3,A2ZINFRA,A2Z Infra Engineering Limited,Engineering,Engineering - General,EQ,23-Dec-10,10,1,INE619I01012,10
4,AARTIDRUGS,Aarti Drugs Limited,Pharmaceuticals,Pharmaceuticals,EQ,19-Sep-03,10,1,INE767A01016,10
5,AARTIIND,Aarti Industries Limited,Chemicals,Chemicals - Organic - Others,EQ,08-Feb-95,5,1,INE769A01020,5
6,AARVEEDEN,Aarvee Denims & Exports Limited,Textiles,Textiles - Denim,EQ,21-Nov-06,10,1,INE273D01019,10
7,ABAN,Aban Offshore Limited,Oil Drilling,Oil Drilling And Exploration,EQ,29-Mar-95,2,1,INE421A01028,2
8,ABB,ABB India Limited,Electric,Electric Equipment - Switchgear/Circuit Breaker,EQ,08-Feb-95,2,1,INE117A01022,2
9,ABBOTINDIA,Abbott India Limited,Pharmaceuticals,Pharmaceuticals,EQ,08-Jan-10,10,1,INE358A01014,10
10,ABFRL,Aditya Birla Fashion and Retail Limited,Textiles,Products,EQ,17-Jul-13,10,1,INE647O01011,10
11,ACC,ACC Limited,Cement,Cement - Major,EQ,20-Nov-96,10,1,INE012A01025,10
12,ACCELYA,Accelya Solutions India Limited,Computers,Software - Medium / Small,EQ,01-Dec-99,10,1,INE793A01012,10
13,ACE,Action Construction Equipment Limited,Engineering,Engineering - Heavy,EQ,26-Sep-06,2,1,INE731H01025,2
14,ADANIENT,Adani Enterprises Limited,Trading,Trading,EQ,04-Jun-97,1,1,INE423A01024,1
15,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Misc,Miscellaneous,EQ,27-Nov-07,2,1,INE742F01042,2
16,ADANIPOWER,Adani Power Limited,Power,Power - Generation/Distribution,BE,20-Aug-09,10,1,INE814H01011,10
17,ADANITRANS,Adani Transmission Limited,Power,Power - Generation/Distribution,EQ,31-Jul-15,10,1,INE931S01010,10
18,ADFFOODS,ADF Foods Limited,Food Processing,Food Processing - Dairy,EQ,15-Sep-10,10,1,INE982B01019,10
19,ADORWELD,Ador Welding Limited,Misc,Welding Equipment - Electrodes,EQ,10-May-95,10,1,INE045A01017,10
20,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Hotels,Hotels,EQ,25-Jun-07,2,1,INE199C01026,2
21,ADVENZYMES,Advanced Enzyme Technologies Limited,,,EQ,01-Aug-16,2,1,INE837H01020,2
22,AEGISCHEM,Aegis Logistics Limited,Misc,Miscellaneous,EQ,03-Apr-96,1,1,INE208C01025,1
23,AGRITECH,Agri-Tech (India) Limited,Misc,Miscellaneous,EQ,28-Jan-14,10,1,INE449G01018,10
24,AHLEAST,Asian Hotels (East) Limited,Hotels,Hotels,BE,11-Aug-10,10,1,INE926K01017,10
25,AHLUCONT,Ahluwalia Contracts (India) Limited,Construction,Construction & Contracting - Civil,EQ,14-Dec-09,2,1,INE758C01029,2
26,AIAENG,AIA Engineering Limited,Engineering,Engineering - Heavy,EQ,14-Dec-05,2,1,INE212H01026,2
27,AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals,Pharmaceuticals,EQ,29-May-00,2,1,INE031B01049,2
28,AJMERA,Ajmera Realty & Infra India Limited,Construction,Construction and Contracting - Real Estate,EQ,16-Jun-09,10,1,INE298G01027,10
