,Ticker,company_name,sector,sub sector,series,date of listing,paid up value,market lot,isin number,face value
196,CINELINE,Cineline India Limited,Entertainment,Entertainment/Multi Media,EQ,13-Jun-12,5,1,INE704H01022,5
197,CIPLA,Cipla Limited,Pharmaceuticals,Pharmaceuticals,EQ,08-Feb-95,2,1,INE059A01026,2
198,CLEDUCATE,CL Educate Limited,,,EQ,31-Mar-17,5,1,INE201M01029,5
199,CLNINDIA,Clariant Chemicals (India) Limited,Dyes,Dyes & Pigments,EQ,14-Jun-95,10,1,INE492A01029,10
200,CMICABLES,CMI Limited,,,EQ,29-Nov-16,10,1,INE981B01011,10
201,COALINDIA,Coal India Limited,Mining,Mining/Minerals,EQ,04-Nov-10,10,1,INE522F01014,10
202,COFFEEDAY,Coffee Day Enterprises Limited,Hotels,Hotels,EQ,02-Nov-15,10,1,INE335K01011,10
203,COLPAL,Colgate Palmolive (India) Limited,FMCG,Personal Care,EQ,17-Dec-07,1,1,INE259A01022,1
204,COMPINFO,Compuage Infocom Limited,,,EQ,07-Jul-16,2,1,INE070C01037,2
205,COMPUSOFT,Compucom Software Limited,Computers,Education,EQ,02-Mar-12,2,1,INE453B01029,2
206,CONCOR,Container Corporation of India Limited,Transport,Transport - Road,EQ,07-May-97,5,1,INE111A01025,5
207,CONSOFINVT,Consolidated Finvest & Holdings Limited,Finance,Finance - General,EQ,29-Mar-05,10,1,INE025A01027,10
208,CONTROLPR,Control Print Limited,,,EQ,24-Jun-16,10,1,INE663B01015,10
209,CORDSCABLE,Cords Cable Industries Limited,Cables,Cables - Power/Others,EQ,13-Feb-08,10,1,INE792I01017,10
210,COROMANDEL,Coromandel International Limited,Fertilisers,Fertilisers - Nitrogenous/Phosphate,EQ,31-May-95,1,1,INE169A01031,1
211,COUNCODOS,Country Condo's Limited,Construction,Construction and Contracting - Real Estate,EQ,22-Jan-09,1,1,INE695B01025,1
212,CRISIL,CRISIL Limited,Misc,Services - Others,EQ,28-Jun-95,1,1,INE007A01025,1
213,CROMPTON,Crompton Greaves Consumer Electricals Limited,,,EQ,13-May-16,2,1,INE299U01018,2
214,CTE,Cambridge Technology Enterprises Limited,Computers,Software - Medium / Small,EQ,07-Feb-07,10,1,INE627H01017,10
